,YEAR,SEX,AGE_GROUP,deaths,rate
615,1995,Males,45–49,11.0,1.7
616,1995,Males,50–54,6.0,1.2
617,1995,Males,55–59,6.0,1.5
618,1995,Males,60–64,4.0,1.1
619,1995,Males,65–69,7.0,2.1
620,1995,Males,70–74,9.0,3.3
621,1995,Males,75–79,4.0,2.4
622,1995,Males,80–84,3.0,2.9
623,1995,Males,85+,0.0,0.0
624,1995,Males,Missing,0.0,
625,1995,Females,0–4,26.0,4.1
626,1995,Females,5–9,3.0,0.5
627,1995,Females,10–14,1.0,0.2
628,1995,Females,15–19,3.0,0.5
629,1995,Females,20–24,3.0,0.4
630,1995,Females,25–29,3.0,0.4
631,1995,Females,30–34,2.0,0.3
632,1995,Females,35–39,1.0,0.1
633,1995,Females,40–44,0.0,0.0
634,1995,Females,45–49,5.0,0.8
635,1995,Females,50–54,4.0,0.8
636,1995,Females,55–59,6.0,1.5
637,1995,Females,60–64,2.0,0.6
638,1995,Females,65–69,2.0,0.6
639,1995,Females,70–74,2.0,0.6
640,1995,Females,75–79,5.0,2.2
641,1995,Females,80–84,0.0,0.0
642,1995,Females,85+,1.0,0.7
643,1996,Males,0–4,34.0,5.1
644,1996,Males,5–9,9.0,1.4
645,1996,Males,10–14,3.0,0.4
646,1996,Males,15–19,15.0,2.3
647,1996,Males,20–24,17.0,2.4
648,1996,Males,25–29,11.0,1.6
649,1996,Males,30–34,13.0,1.8
650,1996,Males,35–39,15.0,2.1
651,1996,Males,40–44,14.0,2.1
652,1996,Males,45–49,7.0,1.1
653,1996,Males,50–54,14.0,2.7
654,1996,Males,55–59,9.0,2.2
655,1996,Males,60–64,7.0,2.0
656,1996,Males,65–69,5.0,1.5
657,1996,Males,70–74,6.0,2.2
658,1996,Males,75–79,3.0,1.7
659,1996,Males,80–84,4.0,3.8
660,1996,Males,85+,2.0,3.3
661,1996,Males,Missing,0.0,
662,1996,Females,0–4,25.0,4.0
663,1996,Females,5–9,2.0,0.3
664,1996,Females,10–14,2.0,0.3
665,1996,Females,15–19,2.0,0.3
666,1996,Females,20–24,3.0,0.4
667,1996,Females,25–29,2.0,0.3
668,1996,Females,30–34,2.0,0.3
669,1996,Females,35–39,0.0,0.0
670,1996,Females,40–44,4.0,0.6
671,1996,Females,45–49,4.0,0.6
672,1996,Females,50–54,0.0,0.0
673,1996,Females,55–59,1.0,0.2
674,1996,Females,60–64,0.0,0.0
675,1996,Females,65–69,5.0,1.4
676,1996,Females,70–74,4.0,1.2
677,1996,Females,75–79,0.0,0.0
678,1996,Females,80–84,1.0,0.6
679,1996,Females,85+,2.0,1.4
680,1996,Females,Missing,0.0,
681,1997,Males,0–4,38.0,5.7
682,1997,Males,5–9,9.0,1.3
683,1997,Males,10–14,5.0,0.7
684,1997,Males,15–19,17.0,2.6
685,1997,Males,20–24,23.0,3.4
686,1997,Males,25–29,13.0,1.8
687,1997,Males,30–34,17.0,2.4
688,1997,Males,35–39,16.0,2.2
689,1997,Males,40–44,18.0,2.6
690,1997,Males,45–49,16.0,2.5
691,1997,Males,50–54,11.0,2.0
692,1997,Males,55–59,5.0,1.2
693,1997,Males,60–64,7.0,1.9
694,1997,Males,65–69,8.0,2.4
695,1997,Males,70–74,10.0,3.6
696,1997,Males,75–79,1.0,0.5
